Ordem de Risco;Temperamento;Música do Linkin Park;URL da Música
01;RSA;Breaking The Habit;https://www.letras.mus.br/linkin-park/68297/
02;ISR;In The End;https://www.letras.mus.br/linkin-park/12918/
03;JUD;Numb;https://www.letras.mus.br/linkin-park/40209/
04;NOE;Somewhere I Belong;https://www.letras.mus.br/linkin-park/40211/
05;PMA;Burn It Down;https://www.letras.mus.br/linkin-park/burn-it-down/
06;RRO;Castle of Glass;https://www.letras.mus.br/linkin-park/castle-of-glass/
07;PJN;The Catalyst;https://www.letras.mus.br/linkin-park/1721013/
08;RES;New Divide;https://www.letras.mus.br/linkin-park/1498422/
09;ABE;One More Light;https://www.letras.mus.br/linkin-park/one-more-light/
10;SAR;Heavy;https://www.letras.mus.br/linkin-park/heavy-feat-kiiara/
11;LEV;Crawling;https://www.letras.mus.br/linkin-park/12915/
12;CAL;Leave Out All The Rest;https://www.letras.mus.br/linkin-park/471032/
13;MOI;What I've Done;https://www.letras.mus.br/linkin-park/236109/
14;ABR;Points of Authority;https://www.letras.mus.br/linkin-park/12921/
15;RDA;Iridescent;https://www.letras.mus.br/linkin-park/iridescent/
16;RME;Shadow of the Day;https://www.letras.mus.br/linkin-park/469248/
17;JOS;Waiting For The End;https://www.letras.mus.br/linkin-park/1749841/
18;ADA;Leave Out All The Rest;https://www.letras.mus.br/linkin-park/471032/
19;PNN;Lost In The Echo;https://www.letras.mus.br/linkin-park/lost-in-the-echo/
20;PJO;A Place For My Head;https://www.letras.mus.br/linkin-park/12913/
21;ELE;Bleed It Out;https://www.letras.mus.br/linkin-park/260021/
22;BET;Final Masquerade;https://www.letras.mus.br/linkin-park/final-masquerade/
23;RAM;Faint;https://www.letras.mus.br/linkin-park/40206/
24;SEM;Papercut;https://www.letras.mus.br/linkin-park/12920/
25;RUT;The Messenger;https://www.letras.mus.br/linkin-park/the-messenger/
26;ZAD;Roads Untraveled;https://www.letras.mus.br/linkin-park/roads-untraveled/
27;LAB;Given Up;https://www.letras.mus.br/linkin-park/210344/
28;JSE;No More Sorrow;https://www.letras.mus.br/linkin-park/232491/
29;SNS;One Step Closer;https://www.letras.mus.br/linkin-park/12919/
30;ERS;Guilty All The Same;https://www.letras.mus.br/linkin-park/guilty-all-the-same-feat-rakim/
31;FAR;Good Goodbye;https://www.letras.mus.br/linkin-park/good-goodbye-feat-pusha-t-stormzy/
32;EVA;Talking To Myself;https://www.letras.mus.br/linkin-park/talking-to-myself/
