Ordem de Risco;Temperamento;URL da Música
01;RSA;https://www.letras.mus.br/rosa-de-saron-musicas/o-sol-da-meia-noite/
02;ISR;https://www.letras.mus.br/rosa-de-saron-musicas/1292095/
03;JUD;https://www.letras.mus.br/rosa-de-saron-musicas/acenda-a-luz/
04;NOE;https://www.letras.mus.br/rosa-de-saron-musicas/a-dor-que-precede-a-cura/
05;PMA;https://www.letras.mus.br/rosa-de-saron-musicas/ate-o-fim/
06;RRO;https://www.letras.mus.br/rosa-de-saron-musicas/82508/
07;PJN;https://www.letras.mus.br/rosa-de-saron-musicas/algoritmo/
08;RES;https://www.letras.mus.br/rosa-de-saron-musicas/ficcao-e-realidade/
09;ABE;https://www.letras.mus.br/rosa-de-saron-musicas/cuida-de-mim/
10;SAR;https://www.letras.mus.br/rosa-de-saron-musicas/226448/
11;LEV;https://www.letras.mus.br/rosa-de-saron-musicas/1004497/
12;CAL;https://www.letras.mus.br/rosa-de-saron-musicas/1624344/
13;MOI;https://www.letras.mus.br/rosa-de-saron-musicas/faca-valer-part-juninho-afram/
14;ABR;https://www.letras.mus.br/rosa-de-saron-musicas/reis-e-princesas/
15;RDA;https://www.letras.mus.br/rosa-de-saron-musicas/1592310/
16;RME;https://www.letras.mus.br/rosa-de-saron-musicas/254381/
17;JOS;https://www.letras.mus.br/rosa-de-saron-musicas/fleur-de-ma-vie/
18;ADA;https://www.letras.mus.br/rosa-de-saron-musicas/76315/
19;PNN;https://www.letras.mus.br/rosa-de-saron-musicas/cartas-ao-remetente/
20;PJO;https://www.letras.mus.br/rosa-de-saron-musicas/as-horas/
21;ELE;https://www.letras.mus.br/rosa-de-saron-musicas/aurora/
22;BET;https://www.letras.mus.br/rosa-de-saron-musicas/gratidao/
23;RAM;https://www.letras.mus.br/rosa-de-saron-musicas/dancando-na-chuva/
24;SEM;https://www.letras.mus.br/rosa-de-saron-musicas/girassol/
25;RUT;https://www.letras.mus.br/rosa-de-saron-musicas/um-dia/
26;ZAD;https://www.letras.mus.br/rosa-de-saron-musicas/281119/
27;LAB;https://www.letras.mus.br/rosa-de-saron-musicas/o-mestre-dos-ventos/
28;JSE;https://www.letras.mus.br/rosa-de-saron-musicas/1739317/
29;SNS;https://www.letras.mus.br/rosa-de-saron-musicas/seis-nacoes/
30;ERS;https://www.letras.mus.br/rosa-de-saron-musicas/mire-as-estrelas/
31;FAR;https://www.letras.mus.br/rosa-de-saron-musicas/1699992/
32;EVA;https://www.letras.mus.br/rosa-de-saron-musicas/casa/
