Ordem de Risco;Temperamento;Música do Thousand Foot Krutch;URL da Música
01;RSA;War Of Change;https://www.letras.mus.br/thousand-foot-krutch/1998342/
02;ISR;Untraveled Road;https://www.letras.mus.br/thousand-foot-krutch/untraveled-road/
03;JUD;Courtesy Call;https://www.letras.mus.br/thousand-foot-krutch/courtesy-call/
04;NOE;Be Somebody;https://www.letras.mus.br/thousand-foot-krutch/650462/
05;PMA;Rawkfist;https://www.letras.mus.br/thousand-foot-krutch/75336/
06;RRO;Move;https://www.letras.mus.br/thousand-foot-krutch/258564/
07;PJN;Push;https://www.letras.mus.br/thousand-foot-krutch/push/
08;RES;Light Up The Sky;https://www.letras.mus.br/thousand-foot-krutch/light-up-the-sky/
09;ABE;Watching Over Me;https://www.letras.mus.br/thousand-foot-krutch/1548553/
10;SAR;Already Home;https://www.letras.mus.br/thousand-foot-krutch/1548554/
11;LEV;The Art of Breaking;https://www.letras.mus.br/thousand-foot-krutch/258572/
12;CAL;This Is A Call;https://www.letras.mus.br/thousand-foot-krutch/258573/
13;MOI;Step To Me;https://www.letras.mus.br/thousand-foot-krutch/258570/
14;ABR;I Get Wicked;https://www.letras.mus.br/thousand-foot-krutch/i-get-wicked/
15;RDA;Give It To Me;https://www.letras.mus.br/thousand-foot-krutch/give-it-to-me/
16;RME;Welcome To The Masquerade;https://www.letras.mus.br/thousand-foot-krutch/1548552/
17;JOS;Absolute;https://www.letras.mus.br/thousand-foot-krutch/258551/
18;ADA;All I Need To Know;https://www.letras.mus.br/thousand-foot-krutch/all-i-need-to-know/
19;PNN;Fly On The Wall;https://www.letras.mus.br/thousand-foot-krutch/fly-on-the-wall/
20;PJO;In My Room;https://www.letras.mus.br/thousand-foot-krutch/in-my-room/
21;ELE;We Are;https://www.letras.mus.br/thousand-foot-krutch/we-are/
22;BET;Forward Motion;https://www.letras.mus.br/thousand-foot-krutch/1548545/
23;RAM;Running With Giants;https://www.letras.mus.br/thousand-foot-krutch/running-with-giants/
24;SEM;Lifeline;https://www.letras.mus.br/thousand-foot-krutch/lifeline/
25;RUT;So Far Gone;https://www.letras.mus.br/thousand-foot-krutch/258569/
26;ZAD;Look Away;https://www.letras.mus.br/thousand-foot-krutch/650466/
27;LAB;Adrenaline;https://www.letras.mus.br/thousand-foot-krutch/adrenaline/
28;JSE;Down;https://www.letras.mus.br/thousand-foot-krutch/down/
29;SNS;Phenomenon;https://www.letras.mus.br/thousand-foot-krutch/75335/
30;ERS;The Flame in All of Us;https://www.letras.mus.br/thousand-foot-krutch/650467/
31;FAR;Puppet;https://www.letras.mus.br/thousand-foot-krutch/75338/
32;EVA;Breathe You In;https://www.letras.mus.br/thousand-foot-krutch/258554/
