Posição;Código;URL
01;RSA;https://www.letras.mus.br/within-temptation/the-reckoning/traducao.html
02;ISR;https://www.letras.mus.br/within-temptation/wireless/traducao.html
03;JUD;https://www.letras.mus.br/within-temptation/raise-your-banner/traducao.html
04;NOE;https://www.letras.mus.br/within-temptation/the-purge/traducao.html
05;PMA;https://www.letras.mus.br/within-temptation/851412/traducao.html
06;RRO;https://www.letras.mus.br/within-temptation/1831872/traducao.html
07;PJN;https://www.letras.mus.br/within-temptation/dont-pray-for-me/traducao.html
08;RES;https://www.letras.mus.br/within-temptation/supernova/traducao.html
09;ABE;https://www.letras.mus.br/within-temptation/113651/traducao.html
10;SAR;https://www.letras.mus.br/within-temptation/1025539/traducao.html
11;LEV;https://www.letras.mus.br/within-temptation/1852554/traducao.html
12;CAL;https://www.letras.mus.br/within-temptation/1852614/traducao.html
13;MOI;https://www.letras.mus.br/within-temptation/113652/traducao.html
14;ABR;https://www.letras.mus.br/within-temptation/in-vain/traducao.html
15;RDA;https://www.letras.mus.br/within-temptation/whole-world-is-watching/traducao.html
16;RME;https://www.letras.mus.br/within-temptation/907988/traducao.html
17;JOS;https://www.letras.mus.br/within-temptation/113653/traducao.html
18;ADA;https://www.letras.mus.br/within-temptation/1025538/traducao.html
19;PNN;https://www.letras.mus.br/within-temptation/275306/traducao.html
20;PJO;https://www.letras.mus.br/within-temptation/113650/traducao.html
21;ELE;https://www.letras.mus.br/within-temptation/let-us-burn/traducao.html
22;BET;https://www.letras.mus.br/within-temptation/endless-war/traducao.html
23;RAM;https://www.letras.mus.br/within-temptation/paradise-what-about-us/traducao.html
24;SEM;https://www.letras.mus.br/within-temptation/1852558/traducao.html
25;RUT;https://www.letras.mus.br/within-temptation/669672/traducao.html
26;ZAD;https://www.letras.mus.br/within-temptation/113649/traducao.html
27;LAB;https://www.letras.mus.br/within-temptation/113647/traducao.html
28;JSE;https://www.letras.mus.br/within-temptation/and-we-run/traducao.html
29;SNS;https://www.letras.mus.br/within-temptation/1228696/traducao.html
30;ERS;https://www.letras.mus.br/within-temptation/817293/traducao.html
31;FAR;https://www.letras.mus.br/within-temptation/1852616/traducao.html
32;EVA;https://www.letras.mus.br/within-temptation/1852612/traducao.html
