ELE;Eleazar;SaoJoaoPauloII
BET;Betsabe;SaoWilbeforce
RAM;ReiAmon;SaoPedroApostolo
SEM;Sem;SantaMarta
PMA;ProfetaJudasMacabeus;SaoPauloApostolo
RRO;ReiRoboao;SaoJoaoDomBosco
PJN;ProfetaJonas;SantaTerezaDAvila
RES;RainhaEster;SantoAgostinho
RDA;ReiDavi;SaoNicolauDeMira
RME;ReiMelquisedeque;SaoNicodemos
FAR;FaraoQueAcolheuOsHebreusNoGenesis;SaoNicolas
EVA;Eva;SaoJoseDeCupertino
MOI;Moises;SantaJoanaDarc
ABR;Abraao;SaoLonguinho
SNS;Sansao;SaoColumba
ERS;EsposaDoReiSalomao;SaoCamiloDeLellis
PNN;ProfetaNatan;SantaCatarinaDeSena
PJO;ProfetaJo;SantaFaustinaKowalska
JOS;JoseDoEgito;SaoFrancisco
ADA;Adao;SaoBarnabe
JUD;Juda;SaoTomeApostolo
NOE;Noe;SaoMaximoConfessor
RSA;ReiSalomao;SaoJoaoEvangelista
ISR;Israel;SaoGregorio
ABE;Abel;SantaTerezaDeCalcuta
SAR;Sara;SaoJosePaiAdotivoDeJesusCristo
RUT;Rute;SaoJoaoVianney
ZAD;Zadoque;SaoJoaoDiego
LEV;Levi;SaoMateusEvangelista
CAL;Caleb;SaoLucasEvangelista
LAB;Labao;SantoAntaoDoDeserto
JSE;Josue;SaoDenisDeParis
